Account ID,ACTIVE,PLAN,ANNUAL,NUM_SEATS,total_events_created,DEALS,COMPANIES,CONTACTS,LEADS,TASKS,team_count,pipeline_count,average_stages_per_pipeline,email_templates,activity_types,lost_reasons_count,lead_statuses_count,email_public_turned_on_count,%_users_w_email_on,total_custom_fields,company_custom_fields,contacts_custom_fields,lead_custom_fields,opportunity_custom_fields,projects_custom_fields,tasks_custom_fields,total_saved_fliters,automated_action_executed_count,automated_action_rules_count,tracked_emails_count,loss_reason_count,total_deals_lost,deals_lost_with_loss_reason,total_won_deals,deal_sources_count,contact_group_count,goals_count,total_activities,companies_activities_per_entity,contact_activities_per_entity,deal_activities_per_entity,lead_activities_per_entity,task_activities_per_entity,import_count,total_integration_tokens,,,,,,,,,,,,,,,,,,,,,,,
207089,1,business_annual,1,210,7646291,2943787,,4702501,,3,7,2,5,5,3,3,4,0,0,30,0,9,0,21,0,0,1,0,0,1,3,0,0,0,0,4,1,14366681,16,7879685,6486970,4,6,12,0,,,,,,,,,,,,,,,,,,,,,,,
128054,1,professional_monthly,0,3,1065854,848825,65,24811,838,191315,2,2,6,13,6,3,6,0,0,16,0,11,2,2,0,1,1,0,0,330,3,5,0,848748,20,4,0,5956554,1566,1521069,2794468,2369,1637082,14,1,,,,,,,,,,,,,,,,,,,,,,,
185323,1,professional_annual,1,1,983028,16,27,190,981864,931,0,3,4,24,5,3,8,0,0,40,6,16,16,1,0,1,5,0,0,270,3,0,0,4,0,7,0,1075812,115,13433,190,1058710,3364,157,1,,,,,,,,,,,,,,,,,,,,,,,
272842,1,business_annual_119,1,1,682175,3,327165,354999,2,6,0,2,4,2,3,3,4,0,0,2,0,2,0,0,0,0,0,0,0,28,3,0,0,0,2,3,0,1901191,695177,1205978,15,0,21,12,0,,,,,,,,,,,,,,,,,,,,,,,
142238,1,business_monthly,0,12,601532,1872,3853,20433,547105,28269,5,3,5,42,11,5,18,7,0.18,120,39,4,24,34,19,0,3,41,4,13034,5,52,21,600,1880,10,156,1681000,21593,132975,21324,1401814,103294,267,8,,,,,,,,,,,,,,,,,,,,,,,
173342,1,professional_monthly,0,1,591125,5797,258872,326410,2,44,1,2,3,31,3,3,4,0,0,21,6,2,0,10,0,3,4,0,0,20794,3,30,0,86,6,26,0,5220783,1146890,4031821,41770,2,300,1023,0,,,,,,,,,,,,,,,,,,,,,,,
247415,1,business_annual_119,1,17,464139,188149,272089,3361,476,64,2,3,5,15,6,7,4,0,0,45,21,9,6,9,0,0,2,0,0,1052,7,181883,181868,69,182263,25,0,1462445,639076,74282,747600,1207,280,39,3,,,,,,,,,,,,,,,,,,,,,,,
146750,0,professional_monthly,0,2,455628,3,45522,410100,,3,0,2,4,0,3,3,4,0,0,9,2,2,0,2,2,1,0,0,0,168,3,0,0,0,2,5,0,902283,268654,633608,15,0,6,56,0,,,,,,,,,,,,,,,,,,,,,,,
193452,1,business_monthly,0,12,401712,2323,1751,2461,391211,3966,4,1,7,67,3,3,3,2,0.06,107,0,33,46,28,0,0,1,0,0,13850,3,172,0,200,1730,4,6,860304,7764,51928,28744,738843,33025,229,1,,,,,,,,,,,,,,,,,,,,,,,
234079,0,professional_monthly_69,0,1,365127,14,1096,5,363923,89,0,2,4,6,3,3,6,0,0,14,3,4,4,3,0,0,0,0,0,57,3,0,0,0,1,13,0,425291,21978,38645,96,364151,421,26,0,,,,,,,,,,,,,,,,,,,,,,,
242097,1,professional_monthly_69,0,41,350793,66743,68,47909,2,236071,12,4,3,65,7,6,4,0,0,25,0,4,0,13,8,0,1,0,0,28518,6,35325,3323,16737,67268,5,0,2309861,62664,308418,875210,0,1063569,9,1,,,,,,,,,,,,,,,,,,,,,,,
222826,1,professional_monthly_69,0,2,309097,4,9176,299894,9,14,1,3,4,3,3,3,5,0,0,58,3,43,11,0,0,1,3,0,0,0,3,0,0,0,0,4,0,426421,67499,358802,32,39,49,6,0,,,,,,,,,,,,,,,,,,,,,,,
275694,0,business_annual_119,1,4,305340,5471,9486,16300,6065,268018,3,1,6,9,4,3,4,0,0,26,21,0,3,2,0,0,4,0,0,103,3,3079,0,2195,3112,7,0,1337069,195107,285740,42181,20023,794018,3,0,,,,,,,,,,,,,,,,,,,,,,,
257205,1,business_monthly_149,0,3,289542,129,1812,2198,285112,291,1,1,4,12,3,3,3,1,0.12,59,12,10,20,17,0,0,2,0,0,1193,3,32,5,18,37,5,0,354852,4195,11965,1566,334741,2385,72,4,,,,,,,,,,,,,,,,,,,,,,,
258475,0,basic_monthly_24,0,2,253070,13,18,31,252995,13,0,3,7,7,3,3,8,1,0.25,20,3,6,10,1,0,0,3,0,0,270,3,0,0,0,7,9,0,256211,80,630,98,255361,42,8,0,,,,,,,,,,,,,,,,,,,,,,,
260470,1,business_annual_119,1,50,250662,14621,32991,202765,,285,2,4,6,52,5,2,4,41,0.77,4,1,1,1,1,0,0,4,0,0,24828,2,56,27,456,757,3,0,1593428,381214,1145441,64321,492,1960,170,1,,,,,,,,,,,,,,,,,,,,,,,
173456,1,professional_monthly,0,4,245533,42,25584,118059,101804,44,0,3,3,15,4,3,4,0,0,67,15,20,17,15,0,0,3,0,0,8449,3,0,0,1,25,33,0,565742,48729,301757,264,214795,197,153,1,,,,,,,,,,,,,,,,,,,,,,,
178642,1,business_monthly,0,15,244866,705,1580,4025,236791,1765,2,4,8,35,15,6,4,5,0.19,120,29,10,20,59,1,1,3,0,0,7348,6,294,34,53,284,11,10,360560,10049,68691,14786,257729,9305,27,3,,,,,,,,,,,,,,,,,,,,,,,
261407,1,business_annual_119,1,20,229502,539,32146,196698,3,116,1,2,4,19,3,3,4,13,0.43,5,1,2,0,2,0,0,5,0,0,11736,3,0,0,38,4,6,0,838511,238644,597204,2247,0,416,5,0,,,,,,,,,,,,,,,,,,,,,,,
145701,1,business_monthly,0,5,208716,894,10630,30551,7992,158649,2,4,5,47,12,7,7,10,0.71,53,10,16,6,21,0,0,12,0,0,20616,7,52,16,163,95,8,10,1014462,217242,224244,14696,32695,525585,164,3,,,,,,,,,,,,,,,,,,,,,,,
159917,1,professional_monthly,0,5,195758,89,6471,189195,,3,1,3,9,19,3,3,4,0,0,16,0,16,0,0,0,0,3,0,0,28622,3,0,0,0,0,8,0,272542,26082,245860,592,0,8,14,1,,,,,,,,,,,,,,,,,,,,,,,
133749,0,professional_monthly_69,0,1,189575,3,101,340,188929,202,0,3,6,11,6,3,20,1,0.5,198,13,89,90,3,2,1,13,0,0,4345,3,0,0,0,0,8,0,313618,256,14065,42,298426,829,218,0,,,,,,,,,,,,,,,,,,,,,,,
139985,1,basic_monthly,0,1,177527,15,55705,121801,,6,0,2,4,2,3,3,4,0,0,11,5,6,0,0,0,0,2,0,0,118,3,1,0,1,1,10,0,547385,179921,367360,81,0,23,22,0,,,,,,,,,,,,,,,,,,,,,,,
200890,1,business_annual,1,21,173055,1901,1934,2573,28520,138127,2,1,5,27,8,7,8,2,0.06,103,31,7,26,31,2,6,3,0,0,3833,7,732,454,740,1692,11,30,797292,16369,56637,46909,183776,493601,1,1,,,,,,,,,,,,,,,,,,,,,,,
101229,1,basic_annual,1,1,169029,568,51328,76791,28804,11538,1,8,5,2,3,6,4,0,0,0,0,0,0,0,0,0,2,0,0,59,6,381,379,160,543,11,2,555657,175187,257635,4616,55401,62818,88,2,,,,,,,,,,,,,,,,,,,,,,,
119559,1,professional_monthly_69,0,45,167945,6459,22799,57509,9729,71449,6,21,5,79,9,13,11,45,0.54,168,67,6,27,67,0,1,112,0,0,18915,13,146,19,5718,0,15,4,1132533,115903,433664,167151,56471,359344,235,6,,,,,,,,,,,,,,,,,,,,,,,
192039,0,professional_monthly,0,3,164245,8,1347,16377,146483,30,1,2,4,5,3,3,4,1,0.33,56,15,18,17,2,2,2,0,0,0,136,3,0,0,2,1,4,0,208109,12441,28583,65,166866,154,38,0,,,,,,,,,,,,,,,,,,,,,,,
143951,1,professional_monthly,0,1,151748,13818,1939,14172,,121819,0,98,9,20,6,9,4,0,0,45,9,9,0,9,9,9,0,0,0,27855,9,3469,1476,2,4,3,0,1039653,12378,89629,241579,0,696067,1,0,,,,,,,,,,,,,,,,,,,,,,,
132652,1,professional_annual,1,13,148324,26038,21573,42873,24,57816,3,3,9,20,4,3,4,3,0.1,21,2,4,4,11,0,0,9,593,7,1496,3,43,9,1550,10571,5,0,1194118,123625,331834,448759,14201,275699,32,3,,,,,,,,,,,,,,,,,,,,,,,
150465,1,business_annual,1,7,145675,24,141253,255,1174,2969,1,3,5,62,4,3,14,0,0,55,17,12,13,13,0,0,1,0,0,5745,3,0,0,3,5,4,0,349285,310448,7479,271,13735,17352,44,3,,,,,,,,,,,,,,,,,,,,,,,
126586,1,business_annual,1,1,144680,5,22205,26609,95852,9,0,2,4,4,3,3,4,0,0,47,10,10,10,17,0,0,1,0,0,508,3,0,0,1,3,5,0,359530,136643,69882,429,152546,30,16,0,,,,,,,,,,,,,,,,,,,,,,,
120593,0,professional_monthly,0,2,141756,23,53416,85564,5,2748,1,2,4,4,3,3,4,2,0.67,0,0,0,0,0,0,0,0,0,0,9437,3,2,0,4,13,6,0,389858,122511,253577,148,17,13605,41,0,,,,,,,,,,,,,,,,,,,,,,,
117210,1,professional_monthly,0,1,137990,4,28,137749,2,207,0,2,3,0,4,3,4,1,1,1,0,1,0,0,0,0,0,0,0,19228,3,0,0,0,0,11,0,381732,1409,379487,44,328,464,3,1,,,,,,,,,,,,,,,,,,,,,,,
222599,1,business_annual_119,1,50,136463,7,996,2105,133179,176,6,4,2,22,3,3,8,11,0.3,38,11,17,3,6,0,0,2,0,0,15682,3,0,0,1,2,5,0,193225,2260,56815,54,133153,943,7,0,,,,,,,,,,,,,,,,,,,,,,,
167608,1,professional_monthly,0,5,132936,3108,4423,9943,765,114697,0,4,4,7,5,3,4,4,0.67,14,10,0,1,3,0,0,6,0,0,3077,3,77,17,216,28,28,0,616791,58893,132871,35097,3742,386188,1,0,,,,,,,,,,,,,,,,,,,,,,,
